session_id;seconds;magx;magy;magz
46008;55929;"\xff8eff8eff8dff8cff8a";"\xff4fff50ff50ff51ff52";"\xff9aff9aff99ff99ff99"
46008;55930;"\xff88ff86ff84ff84ff82";"\xff53ff55ff57ff59ff5c";"\xff98ff96ff91ff8cff86"
46008;55931;"\xff81ff81ff81ff82ff82";"\xff5fff61ff63ff67ff69";"\xff81ff7bff72ff6cff65"
46008;55932;"\xff82ff81ff80ff7fff7e";"\xff6cff6cff6cff6cff6b";"\xff61ff60ff61ff64ff68"
46008;55933;"\xff7dff7bff7bff7aff79";"\xff69ff67ff64ff63ff63";"\xff6fff76ff7dff84ff8a"
46008;55934;"\xff78ff79ff79ff79ff79";"\xff61ff61ff61ff62ff62";"\xff8fff93ff95ff97ff98"
46008;55935;"\xff7aff7aff7bff7cff7d";"\xff63ff62ff61ff62ff61";"\xff99ff9aff9bff9cff9c"
46008;55936;"\xff7dff7eff7eff7eff7f";"\xff60ff5fff5fff5eff5e";"\xff9cff9dff9dff9eff9e"
46008;55937;"\xff7fff7fff7fff7fff7e";"\xff5eff5eff5eff5eff5e";"\xff9eff9dff9dff9dff9c"
46008;55938;"\xff7eff7dff7cff7cff7c";"\xff5eff5fff60ff60ff60";"\xff9dff9dff9eff9dff9d"
46008;55939;"\xff7cff7cff7cff7cff7c";"\xff60ff60ff60ff60ff60";"\xff9dff9eff9eff9dff9c"
46008;55940;"\xff7dff7dff7dff7cff7d";"\xff5fff5eff5eff5eff5e";"\xff9cff9dff9dff9dff9e"
46008;55941;"\xff7dff7dff7dff7dff7d";"\xff5eff5eff5eff5eff5e";"\xff9fffa0ffa0ffa0ffa1"
46008;55942;"\xff7dff7eff7dff7dff7e";"\xff5dff5dff5dff5dff5d";"\xffa1ffa2ffa2ffa3ffa3"
46008;55943;"\xff7eff7eff7fff7eff7e";"\xff5cff5dff5dff5eff5e";"\xffa4ffa3ffa4ffa4ffa2"
46008;55944;"\xff7dff7dff7dff7cff7b";"\xff5fff5fff60ff60ff61";"\xffa1ffa0ff9fff9eff9d"
46008;55945;"\xff7aff7aff79ff79ff79";"\xff63ff64ff65ff66ff67";"\xff9bff9aff9aff99ff9a"
46008;55946;"\xff79ff79ff79ff79ff78";"\xff68ff69ff69ff69ff6a";"\xff9aff99ff9aff9bff9c"
46008;55947;"\xff78ff78ff78ff78ff78";"\xff69ff6aff69ff68ff68";"\xff9cff9dff9dff9eff9f"
46008;55948;"\xff78ff78ff77ff78ff77";"\xff68ff68ff66ff65ff66";"\xff9fffa0ffa0ffa1ffa1"
46008;55949;"\xff76ff76ff76ff76ff77";"\xff66ff65ff65ff66ff66";"\xffa1ffa0ff9fff9dff9d"
46008;55950;"\xff77ff77ff78ff78ff79";"\xff68ff67ff67ff67ff66";"\xff9dff9dff9cff9cff9d"
